13:00:27.245 DEBUG Debug logging enabled 
13:00:28.367 INFO  Attempting to load command banintro 
13:00:28.368 INFO  Attempting to load command birthday 
13:00:28.368 INFO  Attempting to load command cringe 
13:00:28.369 INFO  Attempting to load command cum 
13:00:28.370 INFO  Attempting to load command fuckimissheralready 
13:00:28.373 INFO  Attempting to load command gavin 
13:00:28.374 INFO  Attempting to load command help 
13:00:28.375 INFO  Attempting to load command info 
13:00:28.392 INFO  Attempting to load command intro 
13:00:28.393 INFO  Attempting to load command join 
13:00:28.393 INFO  Attempting to load command kanye 
13:00:28.394 INFO  Attempting to load command kawaii 
13:00:28.395 INFO  Attempting to load command leave 
13:00:28.395 INFO  Attempting to load command mirror 
13:00:28.396 INFO  Attempting to load command n 
13:00:28.397 INFO  Attempting to load command nasa 
13:00:28.397 INFO  Attempting to load command news 
13:00:28.398 INFO  Attempting to load command poll 
13:00:28.398 INFO  Attempting to load command reload 
13:00:28.399 INFO  Attempting to load command rock 
13:00:28.400 INFO  Attempting to load command s 
13:00:28.400 INFO  Attempting to load command sicko 
13:00:28.401 INFO  Attempting to load command song 
13:00:28.401 INFO  Attempting to load command songrec 
13:00:28.401 INFO  Attempting to load command stock 
13:00:28.402 INFO  Attempting to load command superidol105 
13:00:28.402 INFO  Attempting to load command test 
13:00:28.442 INFO  Attempting to load command w 
13:00:28.442 INFO  Attempting to load command weather 
13:00:28.456 INFO  Attempting to load keyword cringe 
13:00:28.457 INFO  Attempting to load keyword <:fortbush:816549663812485151> 
13:00:28.457 INFO  Attempting to load keyword keywordtest 
13:00:28.458 INFO  Attempting to load keyword mirror 
13:00:28.458 INFO  Attempting to load keyword 🪞 
13:00:28.459 INFO  Attempting to load keyword pog 
13:00:28.459 INFO  Attempting to load keyword pogchamp 
13:00:28.460 INFO  Attempting to load keyword poggers 
13:00:28.460 INFO  Attempting to load keyword !warn 
13:00:28.461 INFO  Attempting to load keyword whydidntitalktoher 
13:00:28.970 INFO  Logged in as MirrorDev#8258! 
13:00:29.076 INFO  Registering slash command banintro 
13:00:29.076 INFO  Registering slash command birthday 
13:00:29.076 INFO  Registering slash command gavin 
13:00:29.077 INFO  Registering slash command help 
13:00:29.077 INFO  Registering slash command info 
13:00:29.077 INFO  Registering slash command intro 
13:00:29.077 INFO  Registering slash command join 
13:00:29.077 INFO  Registering slash command kanye 
13:00:29.077 INFO  Registering slash command kawaii 
13:00:29.077 INFO  Registering slash command leave 
13:00:29.077 INFO  Registering slash command mirror 
13:00:29.077 INFO  Registering slash command n 
13:00:29.077 INFO  Registering slash command nasa 
13:00:29.077 INFO  Registering slash command news 
13:00:29.077 INFO  Registering slash command poll 
13:00:29.077 INFO  Registering slash command reload 
13:00:29.077 INFO  Registering slash command rock 
13:00:29.077 INFO  Registering slash command s 
13:00:29.077 INFO  Registering slash command sicko 
13:00:29.077 INFO  Registering slash command song 
13:00:29.078 INFO  Registering slash command songrec 
13:00:29.078 INFO  Registering slash command stock 
13:00:29.078 INFO  Registering slash command test 
13:00:29.078 INFO  Registering slash command w 
13:00:29.078 INFO  Registering slash command weather 
13:00:29.078 INFO  MirrorDev#8258 finished setup 
13:02:04.210 DEBUG {"copyright":"Adam Jensen","date":"2022-02-14","explanation":"What excites the Heart Nebula? First, the large emission nebula dubbed IC 1805 looks, in whole, like a human heart.  Its shape perhaps fitting of the Valentine's Day, this heart glows brightly in red light emitted by its most prominent element: excited hydrogen.  The red glow and the larger shape are all created by a small group of stars near the nebula's center.  In the heart of the Heart Nebula are young stars from the open star cluster Melotte 15 that are eroding away several picturesque dust pillars with their energetic light and winds. The open cluster of stars contains a few bright stars nearly 50 times the mass of our Sun, many dim stars only a fraction of the mass of our Sun, and an absent microquasar that was expelled millions of years ago.  The Heart Nebula is located about 7,500 light years away toward the constellation of the mythological Queen of Aethiopia (Cassiopeia).","hdurl":"https://apod.nasa.gov/apod/image/2202/HeartB_Jensen_3925.jpg","media_type":"image","service_version":"v1","title":"In the Heart of the Heart Nebula","url":"https://apod.nasa.gov/apod/image/2202/HeartB_Jensen_960.jpg"} 
